GAME,ROUND,COURT,TEAMS
1,1,1,E:M
2,1,2,A:J
3,1,3,L:D
4,1,4,I:F
5,1,5,C:K
6,1,6,B:N
7,1,7,G:H
8,2,1,K:A
9,2,2,D:M
10,2,3,F:J
11,2,4,L:B
12,2,5,H:E
13,2,6,I:G
14,2,7,N:C
15,3,1,C:J
16,3,2,E:L
17,3,3,A:I
18,3,4,N:D
19,3,5,G:M
20,3,6,F:H
21,3,7,B:K
22,4,1,B:I
23,4,2,N:G
24,4,3,C:H
25,4,4,E:K
26,4,5,L:F
27,4,6,A:M
28,4,7,J:D
29,5,1,N:F
30,5,2,H:B
31,5,3,K:G
32,5,4,C:M
33,5,5,D:I
34,5,6,J:E
35,5,7,A:L
36,6,1,L:G
37,6,2,I:C
38,6,3,N:E
39,6,4,A:H
40,6,5,J:B
41,6,6,K:D
42,6,7,M:F
43,7,1,F:C
44,7,2,M:H
45,7,3,I:L
46,7,4,D:E
47,7,5,A:N
48,7,6,G:B
49,7,7,K:J
50,8,1,J:L
51,8,2,G:A
52,8,3,M:B
53,8,4,K:I
54,8,5,E:C
55,8,6,D:F
56,8,7,H:N
57,9,1,I:N
58,9,2,B:E
59,9,3,H:K
60,9,4,F:A
61,9,5,M:J
62,9,6,C:L
63,9,7,D:G
64,10,1,H:D
65,10,2,J:I
66,10,3,G:C
67,10,4,M:N
68,10,5,K:L
69,10,6,E:A
70,10,7,F:B
71,11,1,M:K
72,11,2,L:N
73,11,3,D:A
74,11,4,B:C
75,11,5,F:G
76,11,6,H:J
77,11,7,E:I
78,12,1,G:E
79,12,2,F:K
80,12,3,J:N
81,12,4,H:L
82,12,5,B:D
83,12,6,M:I
84,12,7,C:A
85,13,1,A:B
86,13,2,C:D
87,13,3,E:F
88,13,4,G:J
89,13,5,I:H
90,13,6,N:K
91,13,7,L:M
