GAME,ROUND,COURT,TEAMS
1,1,1,R+N:B+H
2,1,2,M+Q:F+P
3,1,3,T+L:J+O
4,1,4,S+K:E+G
5,1,5,U+I:D+C
6,2,1,I+P:E+K
7,2,2,N+U:S+O
8,2,3,M+G:C+Q
9,2,4,T+D:B+L
10,2,5,J+F:A+H
11,3,1,U+T:J+Q
12,3,2,D+K:A+F
13,3,3,I+H:L+P
14,3,4,C+E:R+O
15,3,5,M+B:S+G
16,4,1,B+F:R+E
17,4,2,T+M:C+P
18,4,3,D+O:G+K
19,4,4,I+S:J+H
20,4,5,L+A:N+Q
21,5,1,M+I:L+K
22,5,2,S+E:N+A
23,5,3,B+Q:H+F
24,5,4,G+R:U+P
25,5,5,D+J:C+O
26,6,1,J+A:U+R
27,6,2,I+D:G+F
28,6,3,S+P:O+E
29,6,4,B+C:L+Q
30,6,5,H+N:T+K
31,7,1,D+B:H+E
32,7,2,C+R:T+N
33,7,3,J+K:Q+A
34,7,4,O+U:M+F
35,7,5,S+L:G+P
36,8,1,L+N:M+U
37,8,2,B+S:O+A
38,8,3,C+F:P+R
39,8,4,J+G:H+K
40,8,5,Q+T:I+E
41,9,1,S+J:Q+R
42,9,2,G+U:I+T
43,9,3,L+E:K+N
44,9,4,P+M:D+A
45,9,5,C+H:O+F
46,10,1,H+T:D+M
47,10,2,J+C:P+N
48,10,3,G+A:F+U
49,10,4,L+O:Q+E
50,10,5,K+I:B+R
51,11,1,C+L:K+U
52,11,2,O+M:B+I
53,11,3,H+R:E+T
54,11,4,F+D:S+N
55,11,5,G+Q:P+A
56,12,1,Q+I:S+D
57,12,2,L+G:F+T
58,12,3,O+N:A+M
59,12,4,H+P:K+R
60,12,5,E+B:J+U
61,13,1,G+H:E+M
62,13,2,P+D:J+B
63,13,3,Q+U:R+I
64,13,4,A+S:C+T
65,13,5,O+K:F+N
66,14,1,K+B:C+S
67,14,2,H+O:A+I
68,14,3,P+T:N+D
69,14,4,Q+F:E+U
70,14,5,R+J:L+M
71,15,1,O+Q:R+D
72,15,2,F+S:L+J
73,15,3,K+M:U+B
74,15,4,N+C:G+I
75,15,5,P+E:A+T
76,16,1,E+J:G+C
77,16,2,Q+P:N+B
78,16,3,F+I:T+S
79,16,4,K+A:R+M
80,16,5,U+L:H+D
81,17,1,P+K:U+S
82,17,2,A+C:H+L
83,17,3,E+D:M+J
84,17,4,T+G:O+B
85,17,5,F+R:N+I
86,18,1,R+L:O+G
87,18,2,K+F:T+J
88,18,3,A+B:I+C
89,18,4,E+N:U+D
90,18,5,M+H:Q+S
91,19,1,F+E:M+C
92,19,2,N+G:Q+H
93,19,3,R+S:D+L
94,19,4,I+O:P+J
95,19,5,A+U:T+B
96,20,1,U+H:P+O
97,20,2,E+A:I+L
98,20,3,N+J:B+G
99,20,4,R+T:M+S
100,20,5,D+Q:K+C
101,21,1,A+R:D+G
102,21,2,T+O:K+Q
103,21,3,U+C:S+H
104,21,4,B+P:F+L
105,21,5,N+M:I+J
