GAME,ROUND,COURT,TEAMS
1,1,1,E+M:K+H
2,1,2,B+I:D+L
3,1,3,F+J:G+C
4,2,1,B+A:G+J
5,2,2,D+M:F+I
6,2,3,K+L:C+H
7,3,1,D+E:C+L
8,3,2,F+A:K+M
9,3,3,G+I:H+J
10,4,1,F+B:H+I
11,4,2,K+E:G+A
12,4,3,C+M:J+L
13,5,1,K+D:J+M
14,5,2,G+B:C+E
15,5,3,H+A:L+I
16,6,1,G+F:L+A
17,6,2,C+D:H+B
18,6,3,J+E:I+M
19,7,1,C+K:I+E
20,7,2,H+F:J+D
21,7,3,L+B:M+A
22,8,1,H+G:M+B
23,8,2,J+K:L+F
24,8,3,I+D:A+E
25,9,1,J+C:A+D
26,9,2,L+G:I+K
27,9,3,M+F:E+B
28,10,1,L+H:E+F
29,10,2,I+C:M+G
30,10,3,A+K:B+D
31,11,1,I+J:B+K
32,11,2,M+H:A+C
33,11,3,E+G:D+F
34,12,1,M+L:D+G
35,12,2,A+J:E+H
36,12,3,B+C:F+K
37,13,1,A+I:F+C
38,13,2,E+L:B+J
39,13,3,D+H:K+G
