GAME,ROUND,COURT,TEAMS
1,1,1,D:H
2,1,2,I:E
3,1,3,K:C
4,1,4,J:A
5,1,5,F:G
6,2,1,F:K
7,2,2,J:H
8,2,3,G:B
9,2,4,D:E
10,2,5,A:I
11,3,1,B:I
12,3,2,D:G
13,3,3,A:K
14,3,4,H:F
15,3,5,E:C
16,4,1,G:E
17,4,2,A:F
18,4,3,C:H
19,4,4,B:J
20,4,5,I:K
21,5,1,H:A
22,5,2,K:B
23,5,3,E:J
24,5,4,I:D
25,5,5,C:F
26,6,1,J:C
27,6,2,G:I
28,6,3,F:D
29,6,4,E:K
30,6,5,B:H
31,7,1,K:D
32,7,2,F:J
33,7,3,B:E
34,7,4,C:I
35,7,5,G:A
36,8,1,C:G
37,8,2,E:A
38,8,3,H:I
39,8,4,F:B
40,8,5,J:D
41,9,1,I:J
42,9,2,B:C
43,9,3,D:A
44,9,4,K:G
45,9,5,H:E
46,10,1,E:F
47,10,2,H:K
48,10,3,J:G
49,10,4,A:C
50,10,5,D:B
51,11,1,A:B
52,11,2,C:D
53,11,3,I:F
54,11,4,G:H
55,11,5,K:J
