GAME,ROUND,COURT,TEAMS
1,1,1,P:D
2,1,2,G:O
3,1,3,M:H
4,1,4,E:X
5,1,5,F:Z
6,1,6,I:Y
7,1,7,K:V
8,1,8,B:R
9,1,9,U:A
10,1,10,Q:C
11,1,11,S:N
12,1,12,L:T
13,1,13,W:J
14,2,1,G:W
15,2,2,D:J
16,2,3,C:L
17,2,4,A:N
18,2,5,B:Q
19,2,6,R:E
20,2,7,U:F
21,2,8,I:V
22,2,9,Y:K
23,2,10,M:Z
24,2,11,X:O
25,2,12,P:H
26,2,13,T:S
27,3,1,N:V
28,3,2,R:L
29,3,3,J:U
30,3,4,H:Q
31,3,5,Y:G
32,3,6,D:Z
33,3,7,X:C
34,3,8,A:W
35,3,9,T:B
36,3,10,S:E
37,3,11,F:P
38,3,12,O:I
39,3,13,M:K
40,4,1,T:H
41,4,2,X:D
42,4,3,Z:C
43,4,4,Y:A
44,4,5,V:B
45,4,6,E:U
46,4,7,F:R
47,4,8,Q:I
48,4,9,K:N
49,4,10,L:M
50,4,11,O:J
51,4,12,W:P
52,4,13,S:G
53,5,1,L:J
54,5,2,H:Y
55,5,3,V:G
56,5,4,S:R
57,5,5,P:U
58,5,6,Q:A
59,5,7,N:B
60,5,8,Z:K
61,5,9,I:X
62,5,10,F:W
63,5,11,T:E
64,5,12,M:D
65,5,13,O:C
66,6,1,B:O
67,6,2,P:K
68,6,3,I:S
69,6,4,F:T
70,6,5,W:E
71,6,6,M:X
72,6,7,A:Z
73,6,8,Y:C
74,6,9,D:V
75,6,10,G:U
76,6,11,H:R
77,6,12,Q:J
78,6,13,N:L
79,7,1,S:P
80,7,2,T:A
81,7,3,B:W
82,7,4,K:J
83,7,5,I:L
84,7,6,F:N
85,7,7,E:Q
86,7,8,M:U
87,7,9,R:O
88,7,10,C:V
89,7,11,D:Y
90,7,12,Z:G
91,7,13,H:X
92,8,1,X:L
93,8,2,W:N
94,8,3,Q:T
95,8,4,D:U
96,8,5,C:R
97,8,6,V:O
98,8,7,Y:M
99,8,8,E:Z
100,8,9,F:J
101,8,10,I:H
102,8,11,G:K
103,8,12,B:S
104,8,13,A:P
105,9,1,C:S
106,9,2,O:T
107,9,3,W:M
108,9,4,X:K
109,9,5,Z:I
110,9,6,Y:F
111,9,7,V:E
112,9,8,U:B
113,9,9,A:R
114,9,10,P:Q
115,9,11,N:D
116,9,12,G:L
117,9,13,J:H
118,10,1,J:Z
119,10,2,N:H
120,10,3,G:Q
121,10,4,R:D
122,10,5,U:C
123,10,6,A:V
124,10,7,B:Y
125,10,8,L:E
126,10,9,X:F
127,10,10,W:I
128,10,11,K:T
129,10,12,S:M
130,10,13,P:O
131,11,1,R:U
132,11,2,Q:V
133,11,3,Y:N
134,11,4,L:Z
135,11,5,J:X
136,11,6,H:W
137,11,7,T:G
138,11,8,D:S
139,11,9,C:P
140,11,10,O:A
141,11,11,M:B
142,11,12,E:K
143,11,13,F:I
144,12,1,K:F
145,12,2,M:I
146,12,3,E:O
147,12,4,P:B
148,12,5,A:S
149,12,6,T:C
150,12,7,D:W
151,12,8,X:G
152,12,9,H:Z
153,12,10,Y:J
154,12,11,V:L
155,12,12,N:U
156,12,13,Q:R
157,13,1,M:A
158,13,2,E:P
159,13,3,S:F
160,13,4,T:I
161,13,5,K:W
162,13,6,X:B
163,13,7,Z:O
164,13,8,C:N
165,13,9,Q:D
166,13,10,R:G
167,13,11,U:H
168,13,12,J:V
169,13,13,L:Y
170,14,1,H:G
171,14,2,J:S
172,14,3,L:P
173,14,4,N:O
174,14,5,Q:M
175,14,6,K:R
176,14,7,I:U
177,14,8,V:F
178,14,9,E:Y
179,14,10,Z:B
180,14,11,A:X
181,14,12,C:W
182,14,13,D:T
183,15,1,O:M
184,15,2,K:C
185,15,3,D:I
186,15,4,G:F
187,15,5,E:H
188,15,6,B:J
189,15,7,L:A
190,15,8,P:Y
191,15,9,V:S
192,15,10,U:T
193,15,11,R:W
194,15,12,X:Q
195,15,13,Z:N
196,16,1,Q:N
197,16,2,Z:R
198,16,3,U:X
199,16,4,W:V
200,16,5,T:Y
201,16,6,L:D
202,16,7,C:J
203,16,8,H:A
204,16,9,B:G
205,16,10,K:S
206,16,11,P:I
207,16,12,F:O
208,16,13,E:M
209,17,1,F:E
210,17,2,I:B
211,17,3,K:A
212,17,4,C:M
213,17,5,O:D
214,17,6,G:P
215,17,7,S:H
216,17,8,J:T
217,17,9,W:L
218,17,10,N:X
219,17,11,Q:Z
220,17,12,Y:R
221,17,13,V:U
222,18,1,Y:Q
223,18,2,L:U
224,18,3,R:J
225,18,4,V:H
226,18,5,G:N
227,18,6,Z:S
228,18,7,P:X
229,18,8,W:O
230,18,9,M:T
231,18,10,E:D
232,18,11,C:F
233,18,12,I:A
234,18,13,K:B
235,19,1,W:T
236,19,2,S:X
237,19,3,P:Z
238,19,4,O:Y
239,19,5,M:V
240,19,6,U:K
241,19,7,R:I
242,19,8,F:Q
243,19,9,N:E
244,19,10,B:L
245,19,11,J:A
246,19,12,H:C
247,19,13,G:D
248,20,1,V:Y
249,20,2,U:Z
250,20,3,X:R
251,20,4,Q:W
252,20,5,N:T
253,20,6,S:L
254,20,7,J:P
255,20,8,O:H
256,20,9,G:M
257,20,10,D:K
258,20,11,I:C
259,20,12,A:F
260,20,13,B:E
261,21,1,I:K
262,21,2,B:F
263,21,3,A:E
264,21,4,M:P
265,21,5,S:O
266,21,6,C:G
267,21,7,H:D
268,21,8,T:X
269,21,9,Z:W
270,21,10,J:N
271,21,11,L:Q
272,21,12,U:Y
273,21,13,R:V
274,22,1,D:C
275,22,2,A:G
276,22,3,H:B
277,22,4,J:E
278,22,5,L:F
279,22,6,N:I
280,22,7,Q:K
281,22,8,R:M
282,22,9,O:U
283,22,10,V:P
284,22,11,Y:S
285,22,12,T:Z
286,22,13,X:W
287,23,1,E:I
288,23,2,F:M
289,23,3,O:K
290,23,4,B:C
291,23,5,D:A
292,23,6,P:T
293,23,7,W:S
294,23,8,G:J
295,23,9,L:H
296,23,10,X:Y
297,23,11,Z:V
298,23,12,R:N
299,23,13,U:Q
300,24,1,Z:X
301,24,2,Y:W
302,24,3,T:V
303,24,4,U:S
304,24,5,R:P
305,24,6,O:Q
306,24,7,M:N
307,24,8,K:L
308,24,9,J:I
309,24,10,H:F
310,24,11,E:G
311,24,12,D:B
312,24,13,C:A
313,25,1,A:B
314,25,2,C:E
315,25,3,F:D
316,25,4,I:G
317,25,5,H:K
318,25,6,J:M
