GAME,ROUND,COURT,TEAMS
1,1,1,T+A:F+L
2,1,2,B+C:Q+O
3,1,3,D+N:E+H
4,1,4,G+S:R+J
5,1,5,I+M:K+P
6,2,1,K+O:M+R
7,2,2,F+P:G+J
8,2,3,I+B:A+L
9,2,4,T+C:H+N
10,2,5,D+E:S+Q
11,3,1,F+G:B+S
12,3,2,K+D:C+N
13,3,3,T+E:J+P
14,3,4,M+Q:O+A
15,3,5,H+R:I+L
16,4,1,J+A:K+N
17,4,2,T+G:L+R
18,4,3,O+S:Q+C
19,4,4,H+I:D+B
20,4,5,M+F:E+P
21,5,1,O+H:G+R
22,5,2,Q+B:S+E
23,5,3,J+K:F+D
24,5,4,L+C:M+P
25,5,5,T+I:N+A
26,6,1,T+K:P+C
27,6,2,L+M:H+F
28,6,3,N+E:O+R
29,6,4,Q+J:I+A
30,6,5,S+D:B+G
31,7,1,B+F:D+I
32,7,2,P+G:Q+A
33,7,3,S+L:K+C
34,7,4,T+M:R+E
35,7,5,N+O:J+H
36,8,1,P+Q:L+J
37,8,2,B+N:M+E
38,8,3,T+O:A+G
39,8,4,D+H:F+K
40,8,5,R+I:S+C
41,9,1,A+K:B+E
42,9,2,T+Q:C+I
43,9,3,F+J:H+M
44,9,4,R+S:N+L
45,9,5,D+P:O+G
46,10,1,F+R:Q+I
47,10,2,H+L:J+O
48,10,3,A+B:P+N
49,10,4,C+M:D+G
50,10,5,T+S:E+K
51,11,1,T+B:G+M
52,11,2,C+D:R+P
53,11,3,E+O:F+I
54,11,4,H+A:S+K
55,11,5,J+N:L+Q
56,12,1,L+P:N+S
57,12,2,G+Q:H+K
58,12,3,J+C:B+M
59,12,4,T+D:I+O
60,12,5,E+F:A+R
61,13,1,G+H:C+A
62,13,2,L+E:D+O
63,13,3,T+F:K+Q
64,13,4,N+R:P+B
65,13,5,I+S:J+M
66,14,1,K+B:L+O
67,14,2,T+H:M+S
68,14,3,P+A:R+D
69,14,4,I+J:E+C
70,14,5,N+G:F+Q
71,15,1,P+I:H+S
72,15,2,R+C:A+F
73,15,3,K+L:G+E
74,15,4,M+D:N+Q
75,15,5,T+J:O+B
76,16,1,T+L:Q+D
77,16,2,M+N:I+G
78,16,3,O+F:P+S
79,16,4,R+K:J+B
80,16,5,A+E:C+H
81,17,1,C+G:E+J
82,17,2,Q+H:R+B
83,17,3,A+M:L+D
84,17,4,T+N:S+F
85,17,5,O+P:K+I
86,18,1,Q+R:M+K
87,18,2,C+O:N+F
88,18,3,T+P:B+H
89,18,4,E+I:G+L
90,18,5,S+J:A+D
91,19,1,B+L:C+F
92,19,2,T+R:D+J
93,19,3,G+K:I+N
94,19,4,S+A:O+M
95,19,5,E+Q:P+H
