GAME,ROUND,COURT,TEAMS
1,1,1,O:P
2,1,2,A:U
3,1,3,Q:B
4,1,4,K:R
5,1,5,F:T
6,1,6,E:S
7,1,7,I:G
8,1,8,L:D
9,1,9,H:J
10,1,10,N:C
11,2,1,D:T
12,2,2,P:C
13,2,3,U:M
14,2,4,N:B
15,2,5,A:R
16,2,6,K:F
17,2,7,E:O
18,2,8,J:G
19,2,9,S:I
20,2,10,H:L
21,3,1,F:H
22,3,2,I:L
23,3,3,G:O
24,3,4,A:T
25,3,5,J:B
26,3,6,C:Q
27,3,7,K:S
28,3,8,N:E
29,3,9,M:R
30,3,10,D:U
31,4,1,K:N
32,4,2,S:F
33,4,3,J:I
34,4,4,G:D
35,4,5,R:H
36,4,6,P:T
37,4,7,L:Q
38,4,8,B:M
39,4,9,U:C
40,4,10,O:A
41,5,1,L:J
42,5,2,O:D
43,5,3,A:P
44,5,4,U:Q
45,5,5,G:M
46,5,6,R:B
47,5,7,T:C
48,5,8,H:S
49,5,9,E:K
50,5,10,I:N
51,6,1,G:E
52,6,2,T:H
53,6,3,C:L
54,6,4,O:M
55,6,5,K:P
56,6,6,N:A
57,6,7,U:B
58,6,8,I:R
59,6,9,F:Q
60,6,10,S:D
61,7,1,R:D
62,7,2,E:P
63,7,3,H:U
64,7,4,B:L
65,7,5,I:C
66,7,6,O:K
67,7,7,G:T
68,7,8,Q:J
69,7,9,A:S
70,7,10,F:M
71,8,1,N:Q
72,8,2,F:R
73,8,3,I:E
74,8,4,H:G
75,8,5,D:K
76,8,6,T:L
77,8,7,S:J
78,8,8,M:A
79,8,9,C:O
80,8,10,P:B
81,9,1,J:C
82,9,2,D:M
83,9,3,P:N
84,9,4,F:U
85,9,5,E:L
86,9,6,B:I
87,9,7,O:R
88,9,8,S:T
89,9,9,K:G
90,9,10,A:Q
91,10,1,E:U
92,10,2,H:B
93,10,3,L:K
94,10,4,S:O
95,10,5,N:G
96,10,6,A:J
97,10,7,F:I
98,10,8,R:P
99,10,9,Q:D
100,10,10,M:T
101,11,1,S:M
102,11,2,J:N
103,11,3,D:F
104,11,4,I:P
105,11,5,O:Q
106,11,6,U:G
107,11,7,R:L
108,11,8,K:C
109,11,9,B:T
110,11,10,E:H
111,12,1,C:R
112,12,2,M:E
113,12,3,N:H
114,12,4,L:F
115,12,5,U:J
116,12,6,I:O
117,12,7,D:P
118,12,8,T:Q
119,12,9,G:A
120,12,10,B:S
121,13,1,U:I
122,13,2,B:G
123,13,3,K:T
124,13,4,C:S
125,13,5,Q:E
126,13,6,J:M
127,13,7,H:A
128,13,8,P:F
129,13,9,D:N
130,13,10,L:O
131,14,1,M:L
132,14,2,N:O
133,14,3,F:A
134,14,4,Q:I
135,14,5,P:S
136,14,6,G:R
137,14,7,J:D
138,14,8,C:H
139,14,9,T:E
140,14,10,U:K
141,15,1,Q:S
142,15,2,R:J
143,15,3,E:D
144,15,4,P:H
145,15,5,T:N
146,15,6,L:U
147,15,7,C:M
148,15,8,A:K
149,15,9,O:B
150,15,10,G:F
151,16,1,I:A
152,16,2,G:Q
153,16,3,T:R
154,16,4,E:C
155,16,5,S:U
156,16,6,M:H
157,16,7,B:K
158,16,8,F:O
159,16,9,N:L
160,16,10,J:P
161,17,1,B:F
162,17,2,K:I
163,17,3,S:G
164,17,4,T:J
165,17,5,L:A
166,17,6,D:C
167,17,7,Q:H
168,17,8,U:N
169,17,9,P:M
170,17,10,R:E
171,18,1,H:K
172,18,2,L:S
173,18,3,O:J
174,18,4,D:A
175,18,5,C:F
176,18,6,Q:P
177,18,7,M:N
178,18,8,E:B
179,18,9,R:U
180,18,10,T:I
181,19,1,P:G
182,19,2,U:T
183,19,3,B:C
184,19,4,M:K
185,19,5,H:O
186,19,6,S:N
187,19,7,A:E
188,19,8,D:I
189,19,9,J:F
190,19,10,Q:R
191,20,1,T:O
192,20,2,C:A
193,20,3,M:Q
194,20,4,R:N
195,20,5,B:D
196,20,6,F:E
197,20,7,P:U
198,20,8,G:L
199,20,9,I:H
200,20,10,K:J
201,21,1,A:B
202,21,2,Q:K
203,21,3,R:S
204,21,4,J:E
205,21,5,M:I
206,21,6,H:D
207,21,7,N:F
208,21,8,O:U
209,21,9,L:P
210,21,10,C:G
