GAME,ROUND,COURT,TEAMS
1,1,1,A:G+N
2,1,2,B+H:C+D
3,1,3,E+O:L+I
4,1,4,F+J:K+M
5,2,1,C+I:D+E
6,2,2,G+K:L+N
7,2,3,F+A:M+J
8,2,4,B:H+O
9,3,1,H+L:M+O
10,2,2,C:I+A
11,3,3,G+B:N+K
12,3,4,D+J:E+F
13,4,1,D:J+B
14,4,2,E+K:F+G
15,4,3,H+C:O+L
16,4,4,I+M:N+A
17,5,1,F+L:G+H
18,5,2,J+N:O+B
19,5,3,I+D:A+M
20,5,4,E:K+C
21,6,1,K+O:A+C
22,6,2,F:L+D
23,6,3,J+E:B+N
24,6,4,G+M:H+I
25,7,1,G:M+E
26,7,2,H+N:I+J
27,7,3,K+F:C+O
28,7,4,L+A:B+D
29,8,1,I+O:J+K
30,8,2,M+B:C+E
31,8,3,L+G:D+A
32,8,4,H:N+F
33,9,1,N+C:D+F
34,9,2,I:O+G
35,9,3,M+H:E+B
36,9,4,J+A:K+L
37,10,1,J:A+H
38,10,2,K+B:L+M
39,10,3,N+I:F+C
40,10,4,O+D:E+G
41,11,1,L+C:M+N
42,11,2,A+E:F+H
43,11,3,O+J:G+D
44,11,4,K:B+I
45,12,1,B+F:G+I
46,12,2,L:C+J
47,12,3,A+K:H+E
48,12,4,M+D:N+O
49,13,1,M:D+K
50,13,2,N+E:O+A
51,13,3,B+L:I+F
52,13,4,C+G:H+J
53,14,1,O+F:A+B
54,14,2,D+H:I+K
55,14,3,C+M:J+G
56,14,4,N:E+L
57,15,1,E+I:J+L
58,15,2,O:F+M
59,15,3,D+N:K+H
60,15,4,A+G:B+C
