GAME,ROUND,COURT,TEAMS
1,1,1,I:P
2,1,2,M:E
3,1,3,D:N
4,1,4,Y:Q
5,1,5,S:B
6,1,6,K:G
7,1,7,O:U
8,1,8,J:H
9,1,9,A:T
10,1,10,L:V
11,1,11,R:X
12,1,12,C:W
13,2,1,G:L
14,2,2,W:I
15,2,3,X:O
16,2,4,F:S
17,2,5,T:J
18,2,6,U:D
19,2,7,B:Y
20,2,8,R:A
21,2,9,P:M
22,2,10,C:K
23,2,11,H:N
24,2,12,V:E
25,3,1,N:I
26,3,2,F:U
27,3,3,W:T
28,3,4,C:P
29,3,5,E:S
30,3,6,Q:K
31,3,7,H:O
32,3,8,G:X
33,3,9,V:A
34,3,10,R:B
35,3,11,D:M
36,3,12,Y:J
37,4,1,D:X
38,4,2,E:P
39,4,3,N:U
40,4,4,Q:B
41,4,5,M:W
42,4,6,Y:F
43,4,7,J:R
44,4,8,H:T
45,4,9,L:C
46,4,10,V:G
47,4,11,A:O
48,4,12,I:K
49,5,1,V:S
50,5,2,X:B
51,5,3,R:P
52,5,4,W:G
53,5,5,H:K
54,5,6,N:A
55,5,7,Q:I
56,5,8,U:C
57,5,9,E:O
58,5,10,F:T
59,5,11,L:J
60,5,12,D:Y
61,6,1,F:Q
62,6,2,I:M
63,6,3,O:D
64,6,4,S:Y
65,6,5,C:V
66,6,6,R:H
67,6,7,W:E
68,6,8,A:J
69,6,9,X:N
70,6,10,K:L
71,6,11,U:T
72,6,12,P:G
73,7,1,B:M
74,7,2,O:F
75,7,3,A:W
76,7,4,I:C
77,7,5,G:Y
78,7,6,T:L
79,7,7,P:D
80,7,8,X:K
81,7,9,U:J
82,7,10,S:R
83,7,11,V:H
84,7,12,Q:N
85,8,1,S:G
86,8,2,Q:D
87,8,3,E:J
88,8,4,V:M
89,8,5,K:T
90,8,6,A:U
91,8,7,I:B
92,8,8,L:N
93,8,9,O:P
94,8,10,H:Y
95,8,11,X:W
96,8,12,R:F
97,9,1,R:E
98,9,2,A:L
99,9,3,Y:K
100,9,4,J:O
101,9,5,Q:X
102,9,6,W:V
103,9,7,N:C
104,9,8,M:S
105,9,9,H:F
106,9,10,D:I
107,9,11,B:P
108,9,12,G:U
109,10,1,K:U
110,10,2,J:V
111,10,3,Q:L
112,10,4,H:D
113,10,5,P:A
114,10,6,O:B
115,10,7,T:S
116,10,8,E:Y
117,10,9,G:I
118,10,10,N:M
119,10,11,W:F
120,10,12,X:C
121,11,1,C:H
122,11,2,Y:O
123,11,3,M:A
124,11,4,L:I
125,11,5,R:N
126,11,6,X:E
127,11,7,F:V
128,11,8,K:D
129,11,9,W:Q
130,11,10,J:S
131,11,11,P:U
132,11,12,B:T
133,12,1,M:F
134,12,2,B:N
135,12,3,P:H
136,12,4,G:E
137,12,5,Y:C
138,12,6,L:R
139,12,7,D:W
140,12,8,V:U
141,12,9,J:X
142,12,10,T:Q
143,12,11,O:I
144,12,12,S:A
145,13,1,E:K
146,13,2,T:C
147,13,3,F:G
148,13,4,R:U
149,13,5,A:Q
150,13,6,V:O
151,13,7,S:N
152,13,8,W:B
153,13,9,I:H
154,13,10,X:P
155,13,11,M:Y
156,13,12,L:D
157,14,1,J:C
158,14,2,U:Q
