GAME,ROUND,COURT,TEAMS
1,1,1,U:V
2,1,2,D+H:T+K
3,1,3,J+B:G+R
4,1,4,S+Q:C+I
5,1,5,P+A:O+M
6,1,6,E+L:F+N
7,2,1,R:D
8,2,2,G+I:E+P
9,2,3,L+Q:A+K
10,2,4,J+T:O+F
11,2,5,V+N:U+B
12,2,6,C+H:S+M
13,3,1,V:A
14,3,2,L+T:M+J
15,3,3,U+G:O+C
16,3,4,Q+R:H+N
17,3,5,F+K:E+S
18,3,6,I+P:B+D
19,4,1,E:U
20,4,2,I+S:O+H
21,4,3,A+T:B+Q
22,4,4,F+G:L+J
23,4,5,P+D:R+V
24,4,6,K+M:C+N
25,5,1,I:L
26,5,2,D+U:R+C
27,5,3,G+V:M+N
28,5,4,A+B:P+K
29,5,5,Q+O:J+F
30,5,6,T+E:H+S
31,6,1,Q:C
32,6,2,K+V:H+T
33,6,3,F+E:P+B
34,6,4,S+J:L+U
35,6,5,N+D:M+A
36,6,6,O+G:I+R
37,7,1,F:S
38,7,2,Q+E:O+D
39,7,3,K+L:U+R
40,7,4,H+M:V+B
41,7,5,I+T:C+G
42,7,6,J+A:N+P
43,8,1,D:E
44,8,2,R+L:B+S
45,8,3,C+M:I+A
46,8,4,U+N:J+K
47,8,5,H+F:P+O
48,8,6,Q+G:T+V
49,9,1,A:G
50,9,2,V+I:N+K
51,9,3,S+P:J+H
52,9,4,R+T:E+O
53,9,5,L+B:Q+C
54,9,6,F+U:D+M
55,10,1,N:H
56,10,2,B+G:S+F
57,10,3,T+M:D+L
58,10,4,P+U:A+Q
59,10,5,K+E:I+J
60,10,6,O+R:V+C
61,11,1,G:B
62,11,2,M+R:T+P
63,11,3,I+E:Q+V
64,11,4,K+C:F+D
65,11,5,N+O:L+H
66,11,6,J+U:S+A
67,12,1,T:N
68,12,2,E+D:A+L
69,12,3,G+P:K+U
70,12,4,O+S:Q+M
71,12,5,J+V:I+B
72,12,6,C+F:R+H
73,13,1,B:O
74,13,2,I+Q:F+M
75,13,3,E+V:C+J
76,13,4,D+A:G+H
77,13,5,S+N:K+R
78,13,6,U+T:P+L
79,14,1,H:F
80,14,2,R+A:J+E
81,14,3,D+S:N+I
82,14,4,V+P:O+L
83,14,5,U+C:T+G
84,14,6,Q+K:M+B
85,15,1,B:M
86,15,2,F+Q:V+U
87,15,3,P+J:C+T
88,15,4,S+K:E+G
89,15,5,A+H:R+D
90,15,6,N+L:O+I
91,16,1,K:T
92,16,2,C+D:J+O
93,16,3,N+A:V+F
94,16,4,B+R:I+L
95,16,5,M+P:G+S
96,16,6,U+Q:E+H
97,17,1,S:Q
98,17,2,G+N:P+R
99,17,3,B+H:D+J
100,17,4,M+V:U+E
101,17,5,C+A:F+L
102,17,6,T+O:I+K
103,18,1,L:P
104,18,2,C+B:H+V
105,18,3,M+E:K+O
106,18,4,T+F:A+G
107,18,5,D+I:S+U
108,18,6,R+N:Q+J
109,19,1,J:K
110,19,2,A+F:U+I
111,19,3,Q+T:R+S
112,19,4,N+B:C+E
113,19,5,M+L:H+P
114,19,6,V+O:G+D
115,20,1,O:R
116,20,2,N+J:M+G
117,20,3,H+U:F+I
118,20,4,K+D:Q+P
119,20,5,T+S:V+A
120,20,6,L+C:B+E
121,21,1,P:I
122,21,2,H+K:L+V
123,21,3,A+O:S+C
124,21,4,B+F:N+T
125,21,5,E+R:U+M
126,21,6,G+J:D+Q
127,22,1,C:K
128,22,2,O+B:U+A
129,22,3,E+N:T+D
130,22,4,M+I:R+J
131,22,5,H+Q:G+L
132,22,6,S+V:P+F
133,23,1,M:J
134,23,2,P+C:Q+N
135,23,3,R+F:G+K
136,23,4,L+S:D+V
137,23,5,O+U:B+T
138,23,6,H+I:A+E
