ROUND,C1,C2,C3,C4,C5,C6
1,A:I+V,B+C:T+K,D+G:H+P,E+J:L+W,F+M:Q+S,N+R:O+U
2,D:L+B,E+F:W+N,Q+U:R+A,H+M:O+C,I+P:T+V,G+J:K+S
3,G:O+E,H+I:C+Q,J+M:N+V,K+P:R+F,L+S:W+B,T+A:U+D
4,J:R+H,K+L:F+T,W+D:A+G,N+S:U+I,O+V:C+E,M+P:Q+B
5,M:U+K,N+O:I+W,P+S:T+E,Q+V:A+L,R+B:F+H,C+G:D+J
6,P:A+N,Q+R:L+C,F+J:G+M,T+B:D+O,U+E:I+K,S+V:W+H
7,S:D+Q,T+U:O+F,V+B:C+K,W+E:G+R,A+H:L+N,I+M:J+P
8,V:G+T,W+A:R+I,L+P:M+S,C+H:J+U,D+K:O+Q,B+E:F+N
9,B:J+W,C+D:U+L,E+H:I+Q,F+K:M+A,G+N:R+T,O+S:P+V
10,E:M+C,F+G:A+O,R+V:S+B,I+N:P+D,J+Q:U+W,H+K:L+T
11,H:P+F,I+J:D+R,K+N:O+W,L+Q:S+G,M+T:A+C,U+B:V+E
12,K:S+I,L+M:G+U,A+E:B+H,O+T:V+J,P+W:D+F,N+Q:R+C
13,N:V+L,O+P:J+A,Q+T:U+F,R+W:B+M,S+C:G+I,D+H:E+K
14,Q:B+O,R+S:M+D,G+K:H+N,U+C:E+P,V+F:J+L,T+W:A+I
15,T:E+R,U+V:P+G,W+C:D+L,A+F:H+S,B+I:M+O,J+N:K+Q
16,W:H+U,A+B:S+J,M+Q:N+T,D+I:K+V,E+L:P+R,C+F:G+O
17,C:K+A,D+E:V+M,F+I:J+R,G+L:N+B,H+O:S+U,P+T:Q+W
18,F:N+D,G+H:B+P,S+W:T+C,J+O:Q+E,K+R:V+A,I+L:M+U
19,I:Q+G,J+K:E+S,L+O:P+A,M+R:T+H,N+U:B+D,V+C:W+F
20,L:T+J,M+N:H+V,B+F:C+I,P+U:W+K,Q+A:E+G,O+R:S+D
21,O:W+M,P+Q:K+B,R+U:V+G,S+A:C+N,T+D:H+J,E+I:F+L
22,R:C+P,S+T:N+E,H+L:I+O,V+D:F+Q,W+G:K+M,U+A:B+J
23,U:F+S,V+W:Q+H,A+D:E+M,B+G:I+T,C+J:N+P,K+O:L+R
