GAME,ROUND,COURT,TEAMS
1,1,1,F:K
2,1,2,P:A
3,1,3,H:I
4,1,4,O:B
5,1,5,M:D
6,1,6,C:N
7,1,7,L:E
8,1,8,J:G
9,2,1,N:D
10,2,2,I:G
11,2,3,B:P
12,2,4,J:H
13,2,5,L:F
14,2,6,E:K
15,2,7,M:C
16,2,8,A:O
17,3,1,P:C
18,3,2,H:K
19,3,3,A:N
20,3,4,G:L
21,3,5,E:J
22,3,6,I:F
23,3,7,D:O
24,3,8,B:M
25,4,1,I:E
26,4,2,N:B
27,4,3,K:G
28,4,4,A:M
29,4,5,C:O
30,4,6,P:D
31,4,7,F:J
32,4,8,L:H
33,5,1,L:A
34,5,2,F:O
35,5,3,J:C
36,5,4,P:E
37,5,5,N:G
38,5,6,H:M
39,5,7,K:B
40,5,8,D:I
41,6,1,G:M
42,6,2,D:J
43,6,3,O:E
44,6,4,C:I
45,6,5,A:K
46,6,6,L:B
47,6,7,H:N
48,6,8,P:F
49,7,1,H:O
50,7,2,L:C
51,7,3,F:M
52,7,4,D:K
53,7,5,I:B
54,7,6,J:A
55,7,7,P:G
56,7,8,E:N
57,8,1,B:J
58,8,2,E:M
59,8,3,L:D
60,8,4,N:F
61,8,5,H:P
62,8,6,G:O
63,8,7,A:I
64,8,8,K:C
65,9,1,K:P
66,9,2,A:H
67,9,3,G:B
68,9,4,I:O
69,9,5,F:C
70,9,6,D:E
71,9,7,N:L
72,9,8,M:J
73,10,1,D:F
74,10,2,J:N
75,10,3,M:L
76,10,4,E:C
77,10,5,B:H
78,10,6,A:G
79,10,7,I:P
80,10,8,O:K
81,11,1,O:L
82,11,2,B:E
83,11,3,P:J
84,11,4,F:A
85,11,5,K:M
86,11,6,N:I
87,11,7,C:H
88,11,8,G:D
89,12,1,C:G
90,12,2,M:I
91,12,3,D:H
92,12,4,K:N
93,12,5,P:L
94,12,6,O:J
95,12,7,E:A
96,12,8,F:B
97,13,1,E:H
98,13,2,G:F
99,13,3,N:O
100,13,4,M:P
101,13,5,D:A
102,13,6,B:C
103,13,7,J:K
104,13,8,I:L
105,14,1,M:N
106,14,2,O:P
107,14,3,I:K
108,14,4,L:J
109,14,5,G:E
110,14,6,F:H
111,14,7,B:D
112,14,8,C:A
113,15,1,A:B
114,15,2,C:D
115,15,3,E:F
116,15,4,H:G
117,15,5,J:I
118,15,6,K:L
119,15,7,O:M
120,15,8,N:P
