GAME,ROUND,COURT,TEAMS
1,1,1,C+D:K+I
2,1,2,H+M:O+Q
3,1,3,L+B:F+P
4,1,4,G+E:N+J
5,2,1,M+I:C+N
6,2,2,D+P:F+G
7,2,3,A+E:H+Q
8,2,4,L+O:J+K
9,3,1,H+A:F+B
10,3,2,L+D:Q+N
11,3,3,K+M:G+I
12,3,4,J+P:E+O
13,4,1,A+M:L+P
14,4,2,C+B:J+O
15,4,3,H+I:K+E
16,4,4,F+N:Q+G
17,5,1,P+N:M+J
18,5,2,I+Q:H+L
19,5,3,B+O:D+G
20,5,4,A+F:K+C
21,6,1,G+K:Q+C
22,6,2,J+L:I+B
23,6,3,O+H:N+A
24,6,4,E+D:M+P
25,7,1,J+F:N+H
26,7,2,O+K:B+M
27,7,3,Q+L:E+C
28,7,4,P+A:D+I
29,8,1,L+C:G+M
30,8,2,K+A:N+E
31,8,3,F+D:J+B
32,8,4,O+I:P+Q
33,9,1,B+P:A+Q
34,9,2,M+E:K+F
35,9,3,D+N:C+O
36,9,4,H+J:G+L
37,10,1,O+G:E+L
38,10,2,Q+F:M+D
39,10,3,N+K:P+H
40,10,4,I+C:A+B
41,11,1,F+L:O+A
42,11,2,G+H:P+I
43,11,3,J+C:Q+D
44,11,4,N+M:B+E
45,12,1,K+H:J+D
46,12,2,F+C:E+P
47,12,3,G+A:O+M
48,12,4,Q+B:I+N
49,13,1,D+B:H+E
50,13,2,A+I:G+J
51,13,3,C+P:L+N
52,13,4,K+Q:O+F
53,14,1,E+Q:B+G
54,14,2,P+O:C+H
55,14,3,I+J:M+F
56,14,4,D+K:L+A
57,15,1,Q+J:P+K
58,15,2,N+G:D+A
59,15,3,E+F:I+L
60,15,4,B+H:C+M
61,16,1,I+E:D+O
62,16,2,B+N:L+K
63,16,3,M+Q:A+J
64,16,4,C+G:F+H
65,17,1,N+O:I+F
66,17,2,E+J:A+C
67,17,3,P+G:B+K
68,17,4,M+L:H+D
