GAME,ROUND,COURT,TEAMS
1,1,1,A:G+N
2,1,2,B+C:E+K
3,1,3,D+F:H+M
4,1,4,I+Q:L+P
5,1,5,J+S:O+R
6,2,1,H+I:K+Q
7,2,2,G:M+A
8,2,3,J+L:N+S
9,2,4,O+D:R+C
10,2,5,P+F:B+E
11,3,1,M:S+G
12,3,2,N+O:Q+D
13,3,3,P+R:A+F
14,3,4,B+J:E+I
15,3,5,C+L:H+K
16,4,1,A+B:D+J
17,4,2,S:F+M
18,4,3,C+E:G+L
19,4,4,H+P:K+O
20,4,5,I+R:N+Q
21,5,1,F:L+S
22,5,2,G+H:J+P
23,5,3,I+K:M+R
24,5,4,N+C:Q+B
25,5,5,O+E:A+D
26,6,1,M+N:P+C
27,6,2,L:R+F
28,6,3,O+Q:S+E
29,6,4,A+I:D+H
30,6,5,B+K:G+J
31,7,1,R:E+L
32,7,2,S+A:C+I
33,7,3,B+D:F+K
34,7,4,G+O:J+N
35,7,5,H+Q:M+P
36,8,1,F+G:I+O
37,8,2,E:K+R
38,8,3,H+J:L+Q
39,8,4,M+B:P+A
40,8,5,N+D:S+C
41,9,1,K:Q+E
42,9,2,L+M:O+B
43,9,3,N+P:R+D
44,9,4,S+H:C+G
45,9,5,A+J:F+I
46,10,1,R+S:B+H
47,10,2,Q:D+K
48,10,3,A+C:E+J
49,10,4,F+N:I+M
50,10,5,G+P:L+O
51,11,1,D:J+Q
52,11,2,E+F:H+N
53,11,3,G+I:K+P
54,11,4,L+A:O+S
55,11,5,M+C:R+B
56,12,1,K+L:N+A
57,12,2,J:P+D
58,12,3,M+O:Q+C
59,12,4,R+G:B+F
60,12,5,S+I:E+H
61,13,1,P:C+J
62,13,2,Q+R:A+G
63,13,3,S+B:D+I
64,13,4,E+M:H+L
65,13,5,F+O:K+N
66,14,1,D+E:G+M
67,14,2,C:I+P
68,14,3,F+H:J+O
69,14,4,K+S:N+R
70,14,5,L+B:Q+A
71,15,1,I:O+C
72,15,2,J+K:M+S
73,15,3,L+N:P+B
74,15,4,Q+F:A+E
75,15,5,R+H:D+G
76,16,1,P+Q:S+F
77,16,2,O:B+I
78,16,3,R+A:C+H
79,16,4,D+L:G+K
80,16,5,E+N:J+M
81,17,1,B:H+O
82,17,2,C+D:F+L
83,17,3,E+G:I+N
84,17,4,J+R:M+Q
85,17,5,K+A:P+S
86,18,1,I+J:L+R
87,18,2,H:N+B
88,18,3,K+M:O+A
89,18,4,P+E:S+D
90,18,5,Q+G:C+F
91,19,1,N:A+H
92,19,2,O+P:R+E
93,19,3,Q+S:B+G
94,19,4,C+K:F+J
95,19,5,D+M:I+L
