ROUND,C1,C2,C3,C4,C5
1,A:G+N,B+C:E+K,D+F:H+M,I+Q:L+P,J+S:O+R
2,H+I:K+Q,G:M+A,J+L:N+S,O+D:R+C,P+F:B+E
3,M:S+G,N+O:Q+D,P+R:A+F,B+J:E+I,C+L:H+K
4,A+B:D+J,S:F+M,C+E:G+L,H+P:K+O,I+R:N+Q
5,F:L+S,G+H:J+P,I+K:M+R,N+C:Q+B,O+E:A+D
6,M+N:P+C,L:R+F,O+Q:S+E,A+I:D+H,B+K:G+J
7,R:E+L,S+A:C+I,B+D:F+K,G+O:J+N,H+Q:M+P
8,F+G:I+O,E:K+R,H+J:L+Q,M+B:P+A,N+D:S+C
9,K:Q+E,L+M:O+B,N+P:R+D,S+H:C+G,A+J:F+I
10,R+S:B+H,Q:D+K,A+C:E+J,F+N:I+M,G+P:L+O
11,D:J+Q,E+F:H+N,G+I:K+P,L+A:O+S,M+C:R+B
12,K+L:N+A,J:P+D,M+O:Q+C,R+G:B+F,S+I:E+H
13,P:C+J,Q+R:A+G,S+B:D+I,E+M:H+L,F+O:K+N
14,D+E:G+M,C:I+P,F+H:J+O,K+S:N+R,L+B:Q+A
15,I:O+C,J+K:M+S,L+N:P+B,Q+F:A+E,R+H:D+G
16,P+Q:S+F,O:B+I,R+A:C+H,D+L:G+K,E+N:J+M
17,B:H+O,C+D:F+L,E+G:I+N,J+R:M+Q,K+A:P+S
18,I+J:L+R,H:N+B,K+M:O+A,P+E:S+D,Q+G:C+F
19,N:A+H,O+P:R+E,Q+S:B+G,C+K:F+J,D+M:I+L
