GAME,ROUND,COURT,TEAMS
1,1,1,E+D:S+L
2,1,2,K+I:V+Q
3,1,3,M+X:A+R
4,1,4,O+G:J+F
5,1,5,B+P:Y+W
6,1,6,H+U:C+N
7,2,1,K+M:B+H
8,2,2,R+Y:X+O
9,2,3,I+S:P+T
10,2,4,L+V:W+C
11,2,5,J+U:N+G
12,2,6,A+Q:E+F
13,3,1,I+R:J+A
14,3,2,S+B:U+D
15,3,3,O+N:Y+L
16,3,4,H+P:G+E
17,3,5,W+Q:F+V
18,3,6,X+T:K+C
19,4,1,S+O:W+X
20,4,2,L+F:N+H
21,4,3,B+J:Q+M
22,4,4,A+U:V+K
23,4,5,G+T:C+P
24,4,6,Y+D:I+E
25,5,1,B+L:G+Y
26,5,2,J+W:T+R
27,5,3,H+C:F+A
28,5,4,X+Q:P+I
29,5,5,V+D:E+U
30,5,6,N+M:S+K
31,6,1,J+H:V+N
32,6,2,A+E:C+X
33,6,3,W+G:D+O
34,6,4,Y+T:U+S
35,6,5,P+M:K+Q
36,6,6,F+R:B+I
37,7,1,W+A:P+F
38,7,2,G+V:M+L
39,7,3,X+K:E+Y
40,7,4,N+D:Q+B
41,7,5,U+R:I+T
42,7,6,C+O:J+S
43,8,1,G+X:U+C
44,8,2,Y+I:K+N
45,8,3,V+P:R+H
46,8,4,F+M:T+J
47,8,5,Q+O:S+D
48,8,6,E+L:W+B
49,9,1,V+Y:Q+E
50,9,2,P+U:O+A
51,9,3,N+S:I+F
52,9,4,C+R:D+W
53,9,5,T+L:B+M
54,9,6,K+H:G+J
55,10,1,P+N:T+K
56,10,2,F+B:S+C
57,10,3,U+Q:L+X
58,10,4,E+O:M+G
59,10,5,D+H:J+R
60,10,6,I+A:V+W
61,11,1,U+F:D+I
62,11,2,Q+T:H+Y
63,11,3,C+J:B+E
64,11,4,K+L:R+V
65,11,5,M+A:W+O
66,11,6,S+X:P+G
67,12,1,Q+C:M+S
68,12,2,E+W:J+K
69,12,3,T+D:A+N
70,12,4,I+H:O+P
71,12,5,R+X:G+L
72,12,6,B+Y:U+V
73,13,1,T+E:R+B
74,13,2,D+M:X+F
75,13,3,K+G:W+I
76,13,4,S+A:L+U
77,13,5,O+Y:V+H
78,13,6,J+N:Q+P
79,14,1,D+K:O+J
80,14,2,I+V:G+S
81,14,3,M+R:Y+C
82,14,4,B+X:H+Q
83,14,5,L+N:P+A
84,14,6,W+F:T+U
85,15,1,M+I:L+W
86,15,2,R+O:N+E
87,15,3,S+P:V+B
88,15,4,J+Y:A+T
89,15,5,H+F:U+X
90,15,6,G+C:D+Q
91,16,1,R+S:H+G
92,16,2,B+U:P+J
93,16,3,O+L:F+K
94,16,4,W+N:X+D
95,16,5,A+C:Q+Y
96,16,6,V+E:M+T
97,17,1,O+B:A+V
98,17,2,L+H:C+I
99,17,3,J+Q:U+W
100,17,4,G+F:Y+M
101,17,5,X+E:T+N
102,17,6,P+K:R+D
103,18,1,L+J:X+P
104,18,2,W+T:Q+G
105,18,3,H+A:E+S
106,18,4,V+C:N+R
107,18,5,Y+K:D+F
108,18,6,U+I:O+M
109,19,1,H+W:Y+U
110,19,2,A+X:K+B
111,19,3,G+D:T+V
112,19,4,P+E:F+O
113,19,5,N+I:M+C
114,19,6,Q+S:L+R
115,20,1,A+G:N+Q
116,20,2,V+M:D+P
117,20,3,X+Y:I+J
118,20,4,U+K:C+L
119,20,5,F+S:R+E
120,20,6,T+B:H+O
121,21,1,X+V:F+T
122,21,2,Y+N:S+W
123,21,3,P+R:M+U
124,21,4,Q+I:E+H
125,21,5,C+B:O+K
126,21,6,D+J:A+L
127,22,1,Y+P:C+D
128,22,2,U+O:R+Q
129,22,3,N+F:B+G
130,22,4,T+S:K+A
131,22,5,E+J:L+I
132,22,6,M+W:X+H
133,23,1,N+U:E+M
134,23,2,F+C:J+V
135,23,3,Q+L:O+T
136,23,4,D+B:I+X
137,23,5,K+W:H+S
138,23,6,R+G:Y+A
139,24,1,F+Q:K+R
140,24,2,T+H:L+D
141,24,3,C+E:W+P
142,24,4,M+J:S+Y
143,24,5,I+G:A+B
144,24,6,O+V:N+X
145,25,1,C+T:I+O
146,25,2,E+K:G+U
147,25,3,D+A:H+M
148,25,4,R+W:B+N
149,25,5,S+V:X+J
150,25,6,L+P:F+Y
