GAME,ROUND,COURT,TEAMS
1,1,1,M:I
2,1,2,N:F
3,1,3,H:R
4,1,4,A:U
5,1,5,B:S
6,1,6,E:L
7,1,7,O:K
8,1,8,C:V
9,1,9,T:D
10,1,10,J:Q
11,1,11,G:P
12,2,1,G:T
13,2,2,S:J
14,2,3,C:O
15,2,4,L:K
16,2,5,F:P
17,2,6,Q:A
18,2,7,H:U
19,2,8,D:R
20,2,9,I:V
21,2,10,N:E
22,2,11,B:M
23,3,1,R:F
24,3,2,M:A
25,3,3,I:L
26,3,4,C:N
27,3,5,T:E
28,3,6,H:S
29,3,7,D:Q
30,3,8,U:G
31,3,9,O:B
32,3,10,P:K
33,3,11,V:J
34,4,1,V:B
35,4,2,E:P
36,4,3,U:D
37,4,4,Q:H
38,4,5,J:M
39,4,6,N:K
40,4,7,L:C
41,4,8,I:O
42,4,9,R:G
43,4,10,S:A
44,4,11,F:T
45,5,1,P:D
46,5,2,Q:B
47,5,3,K:V
48,5,4,O:E
49,5,5,G:N
50,5,6,J:U
51,5,7,A:R
52,5,8,T:H
53,5,9,C:M
54,5,10,L:F
55,5,11,S:I
56,6,1,J:O
57,6,2,T:K
58,6,3,Q:G
59,6,4,S:D
60,6,5,A:V
61,6,6,P:C
62,6,7,I:N
63,6,8,B:L
64,6,9,U:F
65,6,10,H:M
66,6,11,E:R
67,7,1,H:N
68,7,2,I:U
69,7,3,M:E
70,7,4,V:F
71,7,5,S:L
72,7,6,R:B
73,7,7,J:T
74,7,8,P:A
75,7,9,D:K
76,7,10,O:G
77,7,11,Q:C
78,8,1,E:U
79,8,2,H:V
80,8,3,N:B
81,8,4,P:I
82,8,5,R:T
83,8,6,M:D
84,8,7,S:G
85,8,8,F:Q
86,8,9,J:L
87,8,10,K:C
88,8,11,A:O
89,9,1,Q:K
90,9,2,D:O
91,9,3,J:C
92,9,4,B:T
93,9,5,P:U
94,9,6,G:V
95,9,7,M:F
96,9,8,S:E
97,9,9,N:A
98,9,10,I:R
99,9,11,L:H
100,10,1,A:L
101,10,2,R:C
102,10,3,F:S
103,10,4,H:G
104,10,5,M:O
105,10,6,I:T
106,10,7,B:P
107,10,8,N:J
108,10,9,E:Q
109,10,10,D:V
110,10,11,U:K
111,11,1,C:S
112,11,2,G:L
113,11,3,T:A
114,11,4,J:R
115,11,5,N:Q
116,11,6,O:F
117,11,7,V:E
118,11,8,K:M
119,11,9,P:H
120,11,10,B:U
121,11,11,I:D
122,12,1,U:R
123,12,2,V:M
124,12,3,B:I
125,12,4,N:P
126,12,5,E:K
127,12,6,D:H
128,12,7,Q:S
129,12,8,G:F
130,12,9,L:O
131,12,10,C:T
132,12,11,J:A
133,13,1,T:Q
134,13,2,J:D
135,13,3,O:P
136,13,4,K:B
137,13,5,U:C
138,13,6,A:G
139,13,7,F:H
140,13,8,R:S
141,13,9,V:N
142,13,10,E:I
143,13,11,M:L
144,14,1,F:E
145,14,2,A:H
146,14,3,L:N
147,14,4,I:C
148,14,5,K:R
149,14,6,S:M
150,14,7,G:D
151,14,8,Q:U
152,14,9,B:J
153,14,10,T:P
154,14,11,O:V
155,15,1,S:P
156,15,2,L:Q
157,15,3,A:K
158,15,4,E:J
159,15,5,I:G
160,15,6,U:O
161,15,7,R:V
162,15,8,M:T
163,15,9,H:C
164,15,10,F:B
165,15,11,D:N
166,16,1,K:G
167,16,2,O:S
168,16,3,P:J
169,16,4,T:L
170,16,5,C:F
171,16,6,V:Q
172,16,7,U:M
173,16,8,E:D
174,16,9,A:I
175,16,10,R:N
176,16,11,H:B
177,17,1,I:H
178,17,2,U:N
179,17,3,R:M
180,17,4,F:A
181,17,5,L:D
182,17,6,B:E
183,17,7,K:J
184,17,8,V:P
185,17,9,S:T
186,17,10,Q:O
187,17,11,C:G
188,18,1,D:C
189,18,2,B:G
190,18,3,V:T
191,18,4,R:O
192,18,5,Q:I
193,18,6,F:J
194,18,7,E:A
195,18,8,H:K
196,18,9,M:P
197,18,10,U:L
198,18,11,N:S
199,19,1,L:V
200,19,2,P:R
201,19,3,S:U
202,19,4,M:Q
203,19,5,O:H
204,19,6,T:N
205,19,7,C:B
206,19,8,J:I
207,19,9,G:E
208,19,10,A:D
209,19,11,K:F
210,20,1,N:M
211,20,2,F:I
212,20,3,E:H
213,20,4,U:V
214,20,5,D:B
215,20,6,L:R
216,20,7,T:O
217,20,8,A:C
218,20,9,K:S
219,20,10,G:J
220,20,11,P:Q
221,21,1,B:A
222,21,2,C:E
223,21,3,D:F
224,21,4,G:M
225,21,5,H:J
226,21,6,K:I
227,21,7,P:L
228,21,8,O:N
229,21,9,Q:R
230,21,10,V:S
231,21,11,T:U
