GAME,ROUND,COURT,TEAMS
1,1,1,D+I:F+B
2,1,2,L+A:C+G
3,1,3,K+O:M+H
4,1,4,N+J:E+P
5,2,1,A+J:N+L
6,2,2,D+K:O+I
7,2,3,P+G:C+E
8,2,4,M+F:B+H
9,3,1,E+H:B+C
10,3,2,F+G:P+M
11,3,3,N+O:I+L
12,3,4,D+A:J+K
13,4,1,P+J:K+M
14,4,2,C+L:I+B
15,4,3,D+F:G+A
16,4,4,O+H:E+N
17,5,1,D+O:H+F
18,5,2,E+G:A+N
19,5,3,J+L:C+P
20,5,4,B+M:K+I
21,6,1,G+M:B+E
22,6,2,D+J:L+O
23,6,3,I+N:A+K
24,6,4,C+H:F+P
25,7,1,K+P:F+A
26,7,2,H+N:I+C
27,7,3,B+L:O+E
28,7,4,D+G:M+J
29,8,1,I+M:J+C
30,8,2,A+E:O+F
31,8,3,D+H:N+G
32,8,4,L+P:K+B
33,9,1,D+L:P+H
34,9,2,K+N:G+B
35,9,3,M+E:A+I
36,9,4,F+C:J+O
37,10,1,N+C:F+K
38,10,2,D+M:E+L
39,10,3,O+B:G+J
40,10,4,A+P:H+I
41,11,1,J+I:H+G
42,11,2,P+B:O+A
43,11,3,F+E:L+K
44,11,4,D+N:C+M
45,12,1,O+C:M+A
46,12,2,G+K:L+H
47,12,3,D+P:B+N
48,12,4,E+I:J+F
49,13,1,D+E:I+P
50,13,2,J+B:N+F
51,13,3,C+K:G+O
52,13,4,H+A:M+L
53,14,1,B+A:H+J
54,14,2,D+C:K+E
55,14,3,L+F:N+M
56,14,4,G+I:P+O
57,15,1,M+O:P+N
58,15,2,I+F:L+G
59,15,3,H+K:E+J
60,15,4,D+B:A+C
