GAME,ROUND,COURT,TEAMS
1,1,1,A:I+V
2,1,2,B+C:T+K
3,1,3,D+G:H+P
4,1,4,E+J:L+W
5,1,5,F+M:Q+S
6,1,6,N+R:O+U
7,2,1,D:L+B
8,2,2,E+F:W+N
9,2,3,Q+U:R+A
10,2,4,H+M:O+C
11,2,5,I+P:T+V
12,2,6,G+J:K+S
13,3,1,G:O+E
14,3,2,H+I:C+Q
15,3,3,J+M:N+V
16,3,4,K+P:R+F
17,3,5,L+S:W+B
18,3,6,T+A:U+D
19,4,1,J:R+H
20,4,2,K+L:F+T
21,4,3,W+D:A+G
22,4,4,N+S:U+I
23,4,5,O+V:C+E
24,4,6,M+P:Q+B
25,5,1,M:U+K
26,5,2,N+O:I+W
27,5,3,P+S:T+E
28,5,4,Q+V:A+L
29,5,5,R+B:F+H
30,5,6,C+G:D+J
31,6,1,P:A+N
32,6,2,Q+R:L+C
33,6,3,F+J:G+M
34,6,4,T+B:D+O
35,6,5,U+E:I+K
36,6,6,S+V:W+H
37,7,1,S:D+Q
38,7,2,T+U:O+F
39,7,3,V+B:C+K
40,7,4,W+E:G+R
41,7,5,A+H:L+N
42,7,6,I+M:J+P
43,8,1,V:G+T
44,8,2,W+A:R+I
45,8,3,L+P:M+S
46,8,4,C+H:J+U
47,8,5,D+K:O+Q
48,8,6,B+E:F+N
49,9,1,B:J+W
50,9,2,C+D:U+L
51,9,3,E+H:I+Q
52,9,4,F+K:M+A
53,9,5,G+N:R+T
54,9,6,O+S:P+V
55,10,1,E:M+C
56,10,2,F+G:A+O
57,10,3,R+V:S+B
58,10,4,I+N:P+D
59,10,5,J+Q:U+W
60,10,6,H+K:L+T
61,11,1,H:P+F
62,11,2,I+J:D+R
63,11,3,K+N:O+W
64,11,4,L+Q:S+G
65,11,5,M+T:A+C
66,11,6,U+B:V+E
67,12,1,K:S+I
68,12,2,L+M:G+U
69,12,3,A+E:B+H
70,12,4,O+T:V+J
71,12,5,P+W:D+F
72,12,6,N+Q:R+C
73,13,1,N:V+L
74,13,2,O+P:J+A
75,13,3,Q+T:U+F
76,13,4,R+W:B+M
77,13,5,S+C:G+I
78,13,6,D+H:E+K
79,14,1,Q:B+O
80,14,2,R+S:M+D
81,14,3,G+K:H+N
82,14,4,U+C:E+P
83,14,5,V+F:J+L
84,14,6,T+W:A+I
85,15,1,T:E+R
86,15,2,U+V:P+G
87,15,3,W+C:D+L
88,15,4,A+F:H+S
89,15,5,B+I:M+O
90,15,6,J+N:K+Q
91,16,1,W:H+U
92,16,2,A+B:S+J
93,16,3,M+Q:N+T
94,16,4,D+I:K+V
95,16,5,E+L:P+R
96,16,6,C+F:G+O
97,17,1,C:K+A
98,17,2,D+E:V+M
99,17,3,F+I:J+R
100,17,4,G+L:N+B
101,17,5,H+O:S+U
102,17,6,P+T:Q+W
103,18,1,F:N+D
104,18,2,G+H:B+P
105,18,3,S+W:T+C
106,18,4,J+O:Q+E
107,18,5,K+R:V+A
108,18,6,I+L:M+U
109,19,1,I:Q+G
110,19,2,J+K:E+S
111,19,3,L+O:P+A
112,19,4,M+R:T+H
113,19,5,N+U:B+D
114,19,6,V+C:W+F
115,20,1,L:T+J
116,20,2,M+N:H+V
117,20,3,B+F:C+I
118,20,4,P+U:W+K
119,20,5,Q+A:E+G
120,20,6,O+R:S+D
121,21,1,O:W+M
122,21,2,P+Q:K+B
123,21,3,R+U:V+G
124,21,4,S+A:C+N
125,21,5,T+D:H+J
126,21,6,E+I:F+L
127,22,1,R:C+P
128,22,2,S+T:N+E
129,22,3,H+L:I+O
130,22,4,V+D:F+Q
131,22,5,W+G:K+M
132,22,6,U+A:B+J
133,23,1,U:F+S
134,23,2,V+W:Q+H
135,23,3,A+D:E+M
136,23,4,B+G:I+T
137,23,5,C+J:N+P
138,23,6,K+O:L+R
