ROUND,C1,C2,C3,C4,C5
1,T+A:F+L,B+C:Q+O,D+N:E+H,G+S:R+J,I+M:K+P
2,K+O:M+R,F+P:G+J,I+B:A+L,T+C:H+N,D+E:S+Q
3,F+G:B+S,K+D:C+N,T+E:J+P,M+Q:O+A,H+R:I+L
4,J+A:K+N,T+G:L+R,O+S:Q+C,H+I:D+B,M+F:E+P
5,O+H:G+R,Q+B:S+E,J+K:F+D,L+C:M+P,T+I:N+A
6,T+K:P+C,L+M:H+F,N+E:O+R,Q+J:I+A,S+D:B+G
7,B+F:D+I,P+G:Q+A,S+L:K+C,T+M:R+E,N+O:J+H
8,P+Q:L+J,B+N:M+E,T+O:A+G,D+H:F+K,R+I:S+C
9,A+K:B+E,T+Q:C+I,F+J:H+M,R+S:N+L,D+P:O+G
10,F+R:Q+I,H+L:J+O,A+B:P+N,C+M:D+G,T+S:E+K
11,T+B:G+M,C+D:R+P,E+O:F+I,H+A:S+K,J+N:L+Q
12,L+P:N+S,G+Q:H+K,J+C:B+M,T+D:I+O,E+F:A+R
13,G+H:C+A,L+E:D+O,T+F:K+Q,N+R:P+B,I+S:J+M
14,K+B:L+O,T+H:M+S,P+A:R+D,I+J:E+C,N+G:F+Q
15,P+I:H+S,R+C:A+F,K+L:G+E,M+D:N+Q,T+J:O+B
16,T+L:Q+D,M+N:I+G,O+F:P+S,R+K:J+B,A+E:C+H
17,C+G:E+J,Q+H:R+B,A+M:L+D,T+N:S+F,O+P:K+I
18,Q+R:M+K,C+O:N+F,T+P:B+H,E+I:G+L,S+J:A+D
19,B+L:C+F,T+R:D+J,G+K:I+N,S+A:O+M,E+Q:P+H
