GAME,ROUND,COURT,TEAMS
1,1,1,C:W
2,1,2,H+R:B+D
3,1,3,J+Y:M+X
4,1,4,L+P:V+T
5,1,5,E+Q:F+Z
6,1,6,N+K:A+O
7,1,7,S+G:U+I
8,2,1,Z:E
9,2,2,P+S:Y+C
10,2,3,Q+G:N+H
11,2,4,I+K:J+D
12,2,5,T+X:A+B
13,2,6,R+V:M+U
14,2,7,O+L:F+W
15,3,1,F:G
16,3,2,W+T:R+M
17,3,3,Y+X:J+S
18,3,4,B+L:P+N
19,3,5,U+C:Q+K
20,3,6,D+O:Z+H
21,3,7,E+A:V+I
22,4,1,Y:R
23,4,2,Q+U:D+V
24,4,3,B+W:H+M
25,4,4,K+S:E+G
26,4,5,A+F:N+O
27,4,6,C+L:I+J
28,4,7,T+Z:P+X
29,5,1,F:L
30,5,2,J+G:Z+S
31,5,3,O+T:C+E
32,5,4,X+N:Y+V
33,5,5,Q+H:P+M
34,5,6,U+D:A+W
35,5,7,B+K:I+R
36,6,1,G:P
37,6,2,A+L:E+D
38,6,3,V+Q:W+J
39,6,4,K+Z:F+I
40,6,5,U+N:B+O
41,6,6,S+R:T+C
42,6,7,Y+M:X+H
43,7,1,L:U
44,7,2,I+C:G+Y
45,7,3,H+D:Z+N
46,7,4,W+X:T+Q
47,7,5,E+K:M+S
48,7,6,P+B:J+F
49,7,7,V+A:R+O
50,8,1,B:D
51,8,2,O+H:X+L
52,8,3,M+Q:G+I
53,8,4,P+V:N+S
54,8,5,C+J:A+T
55,8,6,U+Z:Y+R
56,8,7,F+E:W+K
57,9,1,X:O
58,9,2,Q+P:R+K
59,9,3,Y+Z:C+W
60,9,4,H+T:M+D
61,9,5,S+I:L+F
62,9,6,J+A:E+B
63,9,7,U+V:G+N
64,10,1,U:C
65,10,2,L+J:H+I
66,10,3,S+V:A+P
67,10,4,E+O:X+B
68,10,5,Y+T:G+Z
69,10,6,M+K:W+N
70,10,7,R+F:Q+D
71,11,1,O:M
72,11,2,A+Y:T+F
73,11,3,D+I:K+C
74,11,4,Q+R:L+S
75,11,5,P+E:U+H
76,11,6,B+V:X+Z
77,11,7,J+N:G+W
78,12,1,R:V
79,12,2,Z+M:K+J
80,12,3,P+U:F+X
81,12,4,A+I:H+W
82,12,5,G+L:O+C
83,12,6,E+Y:N+D
84,12,7,T+B:S+Q
85,13,1,E:J
86,13,2,O+I:Q+N
87,13,3,S+D:R+L
88,13,4,M+F:U+Y
89,13,5,H+B:V+W
90,13,6,K+P:G+T
91,13,7,A+X:C+Z
92,14,1,S:N
93,14,2,W+E:V+G
94,14,3,Z+O:T+K
95,14,4,C+H:R+P
96,14,5,D+A:J+M
97,14,6,I+X:F+U
98,14,7,L+Y:Q+B
99,15,1,D:T
100,15,2,K+A:L+U
101,15,3,C+P:E+V
102,15,4,W+Q:Y+O
103,15,5,X+R:I+N
104,15,6,M+G:B+Z
105,15,7,F+S:H+J
106,16,1,H:A
107,16,2,Y+W:P+F
108,16,3,B+J:U+R
109,16,4,C+G:D+X
110,16,5,O+S:K+V
111,16,6,Q+I:E+T
112,16,7,Z+L:N+M
113,17,1,T:Q
114,17,2,C+D:S+B
115,17,3,N+A:P+G
116,17,4,O+W:J+U
117,17,5,I+M:Z+R
118,17,6,Y+F:L+V
119,17,7,K+H:E+X
120,18,1,M:F
121,18,2,J+Z:H+V
122,18,3,O+U:I+T
123,18,4,E+N:C+R
124,18,5,B+G:K+Y
125,18,6,A+S:Q+X
126,18,7,P+W:D+L
127,19,1,K:Y
128,19,2,T+P:I+W
129,19,3,R+B:G+A
130,19,4,D+Z:S+U
131,19,5,J+X:L+N
132,19,6,V+M:F+C
133,19,7,H+E:O+Q
134,20,1,P:B
135,20,2,C+X:M+E
136,20,3,V+Z:L+Q
137,20,4,G+F:R+A
138,20,5,D+W:Y+I
139,20,6,S+H:O+J
140,20,7,N+T:K+U
141,21,1,I:H
142,21,2,F+N:S+T
143,21,3,W+R:X+K
144,21,4,V+J:B+Y
145,21,5,G+U:E+L
146,21,6,Z+Q:C+A
147,21,7,M+O:P+D
148,22,1,J:Q
149,22,2,X+O:G+R
150,22,3,F+B:E+Z
151,22,4,I+P:A+M
152,22,5,N+V:D+T
153,22,6,H+Y:L+K
154,22,7,S+C:W+U
155,23,1,A:K
156,23,2,N+C:F+H
157,23,3,T+M:V+O
158,23,4,Z+W:U+B
159,23,5,L+I:S+X
160,23,6,G+D:J+Q
161,23,7,E+R:Y+P
162,24,1,N:Z
163,24,2,Y+Q:U+A
164,24,3,D+F:X+G
165,24,4,T+R:H+L
166,24,5,J+P:O+K
167,24,6,W+M:S+E
168,24,7,I+B:C+V
169,25,1,W:S
170,25,2,X+V:D+K
171,25,3,L+M:Q+A
172,25,4,N+Y:I+E
173,25,5,H+G:T+U
174,25,6,B+C:O+F
175,25,7,R+J:Z+P
176,26,1,V:I
177,26,2,M+B:L+T
178,26,3,R+N:J+E
179,26,4,F+K:Q+C
180,26,5,W+S:Z+A
181,26,6,X+U:H+P
182,26,7,D+Y:O+G
183,27,1,Q:X
184,27,2,I+Z:O+P
185,27,3,A+H:S+Y
186,27,4,U+E:T+J
187,27,5,R+D:V+F
188,27,6,L+W:K+G
189,27,7,B+N:M+C
