ROUND,C1,C2,C3,C4,C5,C6
1,U:V,D+H:T+K,J+B:G+R,S+Q:C+I,P+A:O+M,E+L:F+N
2,R:D,G+I:E+P,L+Q:A+K,J+T:O+F,V+N:U+B,C+H:S+M
3,V:A,L+T:M+J,U+G:O+C,Q+R:H+N,F+K:E+S,I+P:B+D
4,E:U,I+S:O+H,A+T:B+Q,F+G:L+J,P+D:R+V,K+M:C+N
5,I:L,D+U:R+C,G+V:M+N,A+B:P+K,Q+O:J+F,T+E:H+S
6,Q:C,K+V:H+T,F+E:P+B,S+J:L+U,N+D:M+A,O+G:I+R
7,F:S,Q+E:O+D,K+L:U+R,H+M:V+B,I+T:C+G,J+A:N+P
8,D:E,R+L:B+S,C+M:I+A,U+N:J+K,H+F:P+O,Q+G:T+V
9,A:G,V+I:N+K,S+P:J+H,R+T:E+O,L+B:Q+C,F+U:D+M
10,N:H,B+G:S+F,T+M:D+L,P+U:A+Q,K+E:I+J,O+R:V+C
11,G:B,M+R:T+P,I+E:Q+V,K+C:F+D,N+O:L+H,J+U:S+A
12,T:N,E+D:A+L,G+P:K+U,O+S:Q+M,J+V:I+B,C+F:R+H
13,B:O,I+Q:F+M,E+V:C+J,D+A:G+H,S+N:K+R,U+T:P+L
14,H:F,R+A:J+E,D+S:N+I,V+P:O+L,U+C:T+G,Q+K:M+B
15,B:M,F+Q:V+U,P+J:C+T,S+K:E+G,A+H:R+D,N+L:O+I
16,K:T,C+D:J+O,N+A:V+F,B+R:I+L,M+P:G+S,U+Q:E+H
17,S:Q,G+N:P+R,B+H:D+J,M+V:U+E,C+A:F+L,T+O:I+K
18,L:P,C+B:H+V,M+E:K+O,T+F:A+G,D+I:S+U,R+N:Q+J
19,J:K,A+F:U+I,Q+T:R+S,N+B:C+E,M+L:H+P,V+O:G+D
20,O:R,N+J:M+G,H+U:F+I,K+D:Q+P,T+S:V+A,L+C:B+E
21,P:I,H+K:L+V,A+O:S+C,B+F:N+T,E+R:U+M,G+J:D+Q
22,C:K,O+B:U+A,E+N:T+D,M+I:R+J,H+Q:G+L,S+V:P+F
23,M:J,P+C:Q+N,R+F:G+K,L+S:D+V,O+U:B+T,H+I:A+E
