GAME,ROUND,COURT,TEAMS
1,1,1,H:N
2,1,2,F+J:I+A
3,1,3,D+C:L+B
4,1,4,M+G:E+K
5,2,1,F:J
6,2,2,N+M:H+L
7,2,3,K+D:C+A
8,2,4,E+I:G+B
9,3,1,A:H
10,3,2,E+N:M+J
11,3,3,G+K:D+L
12,3,4,B+C:I+F
13,4,1,N:G
14,4,2,D+H:I+K
15,4,3,M+A:B+J
16,4,4,F+L:C+E
17,5,1,C:D
18,5,2,N+L:B+E
19,5,3,F+G:H+I
20,5,4,J+A:K+M
21,6,1,L:I
22,6,2,M+C:A+G
23,6,3,K+J:B+N
24,6,4,H+E:F+D
25,7,1,B:K
26,7,2,J+L:F+H
27,7,3,A+D:E+G
28,7,4,I+M:N+C
29,8,1,J:C
30,8,2,D+E:N+I
31,8,3,B+M:F+K
32,8,4,G+L:H+A
33,9,1,I:F
34,9,2,J+N:G+D
35,9,3,K+H:M+E
36,9,4,A+B:L+C
37,10,1,D:M
38,10,2,G+H:J+C
39,10,3,E+F:L+K
40,10,4,N+A:I+B
41,11,1,I:E
42,11,2,L+A:K+N
43,11,3,D+B:J+H
44,11,4,C+G:M+F
45,12,1,G:B
46,12,2,C+I:H+M
47,12,3,A+K:N+F
48,12,4,D+J:E+L
49,13,1,M:L
50,13,2,N+D:A+F
51,13,3,J+E:C+H
52,13,4,K+B:G+I
53,14,1,E:A
54,14,2,B+F:M+D
55,14,3,H+N:K+C
56,14,4,L+I:J+G
57,15,1,K:J
58,15,2,L+M:D+I
59,15,3,C+F:N+G
60,15,4,B+H:A+E
