GAME,ROUND,COURT,TEAMS
1,1,1,C:I+K
2,1,2,D+B:A+J
3,1,3,G+F:E+H
4,2,1,A:G+J
5,2,2,K+H:C+I
6,2,3,B+E:F+D
7,3,1,F:K+D
8,3,2,E+C:H+B
9,3,3,J+I:A+G
10,4,1,H:J+B
11,4,2,D+G:F+K
12,4,3,C+A:I+E
13,5,1,I+I:D+E
14,5,2,A+F:G+C
15,5,3,B+K:H+J
16,6,1,G:B+C
17,6,2,E+J:I+D
18,6,3,F+H:K+A
19,7,1,K+K:E+A
20,7,2,H+I:J+F
21,7,3,C+D:G+B
22,8,1,J:C+F
23,8,2,A+B:K+E
24,8,3,I+G:D+H
25,9,1,D+D:A+H
26,9,2,G+K:B+I
27,9,3,F+E:J+C
28,10,1,B:F+I
29,10,2,H+C:D+A
30,10,3,K+J:E+G
31,11,1,E+E:H+G
32,11,2,J+D:C+K
33,11,3,I+A:B+F
