GAME,ROUND,COURT,TEAMS
1,1,1,O:G
2,1,2,A+K:H+I
3,1,3,Q+N:M+B
4,1,4,L+C:D+E
5,1,5,R+F:P+J
6,2,1,K:P
7,2,2,E+B:F+N
8,2,3,I+O:L+J
9,2,4,R+Q:H+G
10,2,5,M+C:A+D
11,3,1,E:C
12,3,2,M+D:Q+G
13,3,3,P+A:R+N
14,3,4,J+F:B+I
15,3,5,K+H:L+O
16,4,1,N:Q
17,4,2,E+L:O+R
18,4,3,C+I:H+F
19,4,4,P+K:G+M
20,4,5,B+D:J+A
21,5,1,R:M
22,5,2,Q+J:I+A
23,5,3,K+D:P+B
24,5,4,O+H:E+F
25,5,5,L+N:C+G
26,6,1,L:F
27,6,2,C+E:M+O
28,6,3,J+H:G+A
29,6,4,D+N:I+K
30,6,5,B+Q:P+R
31,7,1,H:J
32,7,2,N+A:P+L
33,7,3,K+M:E+R
34,7,4,F+B:Q+C
35,7,5,G+O:D+I
36,8,1,B:I
37,8,2,C+O:R+H
38,8,3,D+G:L+F
39,8,4,M+A:K+J
40,8,5,P+Q:N+E
41,9,1,D:H
42,9,2,L+G:K+B
43,9,3,N+P:A+E
44,9,4,C+R:I+Q
45,9,5,J+M:F+O
46,10,1,J:R
47,10,2,F+M:N+C
48,10,3,G+K:Q+H
49,10,4,B+A:O+E
50,10,5,I+P:D+L
51,11,1,Q:O
52,11,2,P+H:B+L
53,11,3,J+R:C+D
54,11,4,I+G:M+N
55,11,5,E+K:A+F
56,12,1,F:N
57,12,2,K+Q:J+D
58,12,3,M+E:I+L
59,12,4,A+O:C+P
60,12,5,H+B:R+G
61,13,1,G:E
62,13,2,I+M:O+P
63,13,3,R+A:F+K
64,13,4,N+B:H+D
65,13,5,Q+L:C+J
66,14,1,I:A
67,14,2,H+E:D+Q
68,14,3,B+J:M+L
69,14,4,G+P:F+C
70,14,5,K+R:O+N
71,15,1,M:B
72,15,2,K+C:N+J
73,15,3,P+D:O+Q
74,15,4,L+R:A+H
75,15,5,F+I:G+E
76,16,1,C:K
77,16,2,D+F:R+M
78,16,3,H+L:N+I
79,16,4,P+E:J+G
80,16,5,O+B:Q+A
81,17,1,P:I
82,17,2,J+E:H+N
83,17,3,O+K:B+C
84,17,4,A+L:M+Q
85,17,5,F+G:R+D
86,18,1,R:L
87,18,2,A+C:G+B
88,18,3,F+P:H+M
89,18,4,O+D:N+K
90,18,5,J+I:E+Q
91,19,1,A:D
92,19,2,Q+F:L+K
93,19,3,G+N:J+O
94,19,4,E+I:R+B
95,19,5,H+C:M+P
