GAME,ROUND,COURT,TEAMS
1,1,1,T:G
2,1,2,I:N
3,1,3,K:P
4,1,4,O:C
5,1,5,F:R
6,1,6,M:A
7,1,7,H:L
8,1,8,Q:B
9,1,9,D:J
10,1,10,E:S
11,2,1,P:E
12,2,2,M:J
13,2,3,O:Q
14,2,4,S:A
15,2,5,L:C
16,2,6,G:K
17,2,7,I:F
18,2,8,N:H
19,2,9,R:B
20,2,10,T:D
21,3,1,D:K
22,3,2,G:S
23,3,3,H:R
24,3,4,B:L
25,3,5,P:M
26,3,6,E:J
27,3,7,C:N
28,3,8,F:O
29,3,9,A:T
30,3,10,Q:I
31,4,1,J:A
32,4,2,F:L
33,4,3,T:E
34,4,4,P:G
35,4,5,N:Q
36,4,6,S:D
37,4,7,O:B
38,4,8,R:C
39,4,9,H:I
40,4,10,K:M
41,5,1,L:N
42,5,2,O:R
43,5,3,J:S
44,5,4,M:D
45,5,5,B:I
46,5,6,H:F
47,5,7,K:T
48,5,8,E:G
49,5,9,Q:C
50,5,10,A:P
51,6,1,B:H
52,6,2,D:P
53,6,3,I:C
54,6,4,F:Q
55,6,5,T:S
56,6,6,O:N
57,6,7,G:A
58,6,8,J:K
59,6,9,E:M
60,6,10,R:L
61,7,1,C:F
62,7,2,H:Q
63,7,3,G:M
64,7,4,J:T
65,7,5,K:A
66,7,6,I:R
67,7,7,D:E
68,7,8,S:P
69,7,9,O:L
70,7,10,B:N
71,8,1,R:P
72,8,2,N:M
73,8,3,L:J
74,8,4,D:O
75,8,5,C:T
76,8,6,F:G
77,8,7,S:I
78,8,8,A:Q
79,8,9,B:K
80,8,10,H:E
81,9,1,M:L
82,9,2,P:B
83,9,3,R:D
84,9,4,I:J
85,9,5,Q:E
86,9,6,K:H
87,9,7,A:O
88,9,8,C:S
89,9,9,T:F
90,9,10,N:G
91,10,1,H:S
92,10,2,K:O
93,10,3,Q:T
94,10,4,N:E
95,10,5,J:F
96,10,6,D:I
97,10,7,B:M
98,10,8,G:R
99,10,9,L:A
100,10,10,P:C
101,11,1,G:I
102,11,2,L:E
103,11,3,C:K
104,11,4,T:B
105,11,5,A:N
106,11,6,R:M
107,11,7,F:P
108,11,8,H:D
109,11,9,S:O
110,11,10,J:Q
111,12,1,K:Q
112,12,2,S:F
113,12,3,A:H
114,12,4,C:M
115,12,5,O:G
116,12,6,P:L
117,12,7,E:R
118,12,8,B:J
119,12,9,N:D
120,12,10,I:T
121,13,1,F:D
122,13,2,Q:G
123,13,3,M:I
124,13,4,A:R
125,13,5,S:B
126,13,6,N:T
127,13,7,J:C
128,13,8,O:E
129,13,9,P:H
130,13,10,L:K
131,14,1,E:C
132,14,2,A:I
133,14,3,B:G
134,14,4,K:F
135,14,5,D:L
136,14,6,Q:S
137,14,7,T:H
138,14,8,P:N
139,14,9,J:R
140,14,10,M:O
141,15,1,N:J
142,15,2,R:T
143,15,3,P:O
144,15,4,L:S
145,15,5,M:H
146,15,6,B:E
147,15,7,Q:D
148,15,8,K:I
149,15,9,C:G
150,15,10,F:A
151,16,1,I:O
152,16,2,E:A
153,16,3,F:B
154,16,4,R:N
155,16,5,G:D
156,16,6,L:Q
157,16,7,P:J
158,16,8,T:M
159,16,9,K:S
160,16,10,C:H
161,17,1,S:M
162,17,2,B:C
163,17,3,D:A
164,17,4,E:K
165,17,5,H:O
166,17,6,T:P
167,17,7,R:Q
168,17,8,I:L
169,17,9,F:N
170,17,10,G:J
171,18,1,O:T
172,18,2,J:H
173,18,3,S:N
174,18,4,Q:P
175,18,5,R:K
176,18,6,A:C
177,18,7,L:G
178,18,8,M:F
179,18,9,I:E
180,18,10,D:B
181,19,1,A:B
182,19,2,C:D
183,19,3,E:F
184,19,4,G:H
185,19,5,I:P
186,19,6,J:O
187,19,7,N:K
188,19,8,L:T
189,19,9,M:Q
190,19,10,S:R
