GAME,ROUND,COURT,TEAMS
1,1,1,Q:J
2,1,2,C:N
3,1,3,G:S
4,1,4,P:K
5,1,5,I:F
6,1,6,B:M
7,1,7,E:L
8,1,8,O:A
9,1,9,D:R
10,2,1,F:S
11,2,2,O:I
12,2,3,H:L
13,2,4,Q:B
14,2,5,E:K
15,2,6,A:P
16,2,7,N:D
17,2,8,R:C
18,2,9,M:G
19,3,1,L:Q
20,3,2,A:S
21,3,3,C:O
22,3,4,R:F
23,3,5,M:D
24,3,6,H:K
25,3,7,G:J
26,3,8,I:P
27,3,9,E:N
28,4,1,R:G
29,4,2,I:E
30,4,3,N:M
31,4,4,D:Q
32,4,5,H:O
33,4,6,J:B
34,4,7,S:P
35,4,8,L:F
36,4,9,A:K
37,5,1,I:M
38,5,2,R:H
39,5,3,P:B
40,5,4,E:J
41,5,5,N:G
42,5,6,L:O
43,5,7,F:K
44,5,8,A:Q
45,5,9,S:C
46,6,1,E:R
47,6,2,J:P
48,6,3,K:C
49,6,4,H:N
50,6,5,D:L
51,6,6,Q:F
52,6,7,M:S
53,6,8,B:O
54,6,9,G:I
55,7,1,H:C
56,7,2,F:O
57,7,3,R:J
58,7,4,A:I
59,7,5,Q:M
60,7,6,D:S
61,7,7,K:N
62,7,8,P:E
63,7,9,L:B
64,8,1,J:D
65,8,2,P:L
66,8,3,Q:I
67,8,4,F:G
68,8,5,B:N
69,8,6,M:C
70,8,7,R:A
71,8,8,S:H
72,8,9,K:O
73,9,1,M:A
74,9,2,S:B
75,9,3,L:K
76,9,4,C:P
77,9,5,R:Q
78,9,6,N:I
79,9,7,D:G
80,9,8,F:J
81,9,9,H:E
82,10,1,B:H
83,10,2,G:A
84,10,3,I:R
85,10,4,S:E
86,10,5,O:J
87,10,6,P:D
88,10,7,C:Q
89,10,8,M:K
90,10,9,N:L
91,11,1,O:P
92,11,2,Q:K
93,11,3,B:G
94,11,4,J:M
95,11,5,F:C
96,11,6,R:L
97,11,7,A:H
98,11,8,E:D
99,11,9,I:S
100,12,1,D:K
101,12,2,M:F
102,12,3,O:E
103,12,4,L:A
104,12,5,P:H
105,12,6,S:N
106,12,7,I:B
107,12,8,Q:G
108,12,9,C:J
109,13,1,G:O
110,13,2,B:R
111,13,3,A:N
112,13,4,I:D
113,13,5,J:S
114,13,6,E:Q
115,13,7,L:C
116,13,8,H:M
117,13,9,F:P
118,14,1,C:E
119,14,2,N:Q
120,14,3,F:D
121,14,4,O:S
122,14,5,K:B
123,14,6,I:H
124,14,7,P:R
125,14,8,G:L
126,14,9,J:A
127,15,1,P:N
128,15,2,K:G
129,15,3,J:H
130,15,4,M:L
131,15,5,S:R
132,15,6,F:A
133,15,7,B:E
134,15,8,C:I
135,15,9,O:D
136,16,1,S:L
137,16,2,H:D
138,16,3,M:P
139,16,4,K:R
140,16,5,A:E
141,16,6,C:G
142,16,7,Q:O
143,16,8,J:N
144,16,9,B:F
145,17,1,N:F
146,17,2,E:M
147,17,3,D:A
148,17,4,B:C
149,17,5,G:P
150,17,6,O:R
151,17,7,J:I
152,17,8,K:S
153,17,9,Q:H
154,18,1,K:I
155,18,2,L:J
156,18,3,S:Q
157,18,4,N:O
158,18,5,C:A
159,18,6,G:E
160,18,7,H:F
161,18,8,D:B
162,18,9,R:M
163,19,1,A:B
164,19,2,D:C
165,19,3,E:F
166,19,4,G:H
167,19,5,L:I
168,19,6,K:J
169,19,7,O:M
170,19,8,N:R
171,19,9,P:Q
