GAME,ROUND,COURT,TEAMS
1,1,1,M+D:F+U
2,1,2,H+R:K+Q
3,1,3,W+J:P+A
4,1,4,V+T:E+L
5,1,5,B+I:X+O
6,1,6,N+S:G+C
7,2,1,N+E:R+P
8,2,2,D+F:W+I
9,2,3,G+V:H+X
10,2,4,M+A:C+B
11,2,5,K+T:U+S
12,2,6,O+L:Q+J
13,3,1,A+C:K+L
14,3,2,J+X:P+T
15,3,3,M+S:I+O
16,3,4,D+H:E+U
17,3,5,W+G:N+Q
18,3,6,R+V:B+F
19,4,1,T+Q:U+V
20,4,2,E+G:O+C
21,4,3,A+N:H+B
22,4,4,S+I:R+X
23,4,5,M+F:L+J
24,4,6,K+W:D+P
25,5,1,H+W:J+I
26,5,2,R+K:A+U
27,5,3,F+L:E+Q
28,5,4,V+P:B+G
29,5,5,S+D:N+O
30,5,6,M+C:X+T
31,6,1,E+R:S+B
32,6,2,M+I:Q+V
33,6,3,G+U:O+W
34,6,4,N+K:T+L
35,6,5,C+X:H+P
36,6,6,F+A:D+J
37,7,1,M+L:P+G
38,7,2,C+S:A+T
39,7,3,D+R:V+X
40,7,4,H+E:F+O
41,7,5,W+B:J+K
42,7,6,I+Q:N+U
43,8,1,I+F:S+V
44,8,2,L+P:D+B
45,8,3,N+H:C+J
46,8,4,M+X:U+W
47,8,5,A+E:G+Q
48,8,6,K+O:T+R
49,9,1,X+U:A+O
50,9,2,R+J:V+E
51,9,3,M+Q:B+K
52,9,4,L+C:F+G
53,9,5,D+N:I+T
54,9,6,S+H:W+P
55,10,1,E+T:G+H
56,10,2,F+N:K+U
57,10,3,X+I:C+W
58,10,4,Q+B:S+J
59,10,5,M+P:O+R
60,10,6,A+D:L+V
61,11,1,C+D:R+B
62,11,2,S+A:X+G
63,11,3,P+O:F+T
64,11,4,H+V:W+N
65,11,5,Q+L:I+K
66,11,6,M+U:J+E
67,12,1,F+S:Q+W
68,12,2,M+B:T+H
69,12,3,N+G:K+D
70,12,4,I+A:E+O
71,12,5,U+J:C+V
72,12,6,P+X:L+R
73,13,1,M+O:V+N
74,13,2,U+Q:X+E
75,13,3,L+S:H+J
76,13,4,C+F:P+K
77,13,5,D+W:R+A
78,13,6,B+T:I+G
79,14,1,B+P:Q+H
80,14,2,O+V:L+W
81,14,3,I+C:U+R
82,14,4,M+J:G+D
83,14,5,X+F:N+T
84,14,6,A+K:E+S
85,15,1,J+G:X+K
86,15,2,S+R:H+F
87,15,3,M+T:W+A
88,15,4,O+U:P+N
89,15,5,L+I:B+E
90,15,6,Q+C:D+V
91,16,1,F+E:N+C
92,16,2,P+I:A+G
93,16,3,J+B:U+D
94,16,4,T+W:Q+R
95,16,5,M+V:K+S
96,16,6,X+L:O+H
97,17,1,U+L:S+W
98,17,2,Q+X:J+N
99,17,3,V+K:P+E
100,17,4,C+H:D+I
101,17,5,T+O:B+A
102,17,6,M+G:R+F
103,18,1,P+Q:T+D
104,18,2,M+W:E+C
105,18,3,I+N:A+L
106,18,4,B+X:F+K
107,18,5,G+R:U+H
108,18,6,V+J:O+S
109,19,1,M+K:H+I
110,19,2,G+T:J+F
111,19,3,O+Q:C+R
112,19,4,U+P:V+A
113,19,5,L+D:S+X
114,19,6,W+E:B+N
115,20,1,W+V:T+C
116,20,2,K+H:O+D
117,20,3,B+U:G+S
118,20,4,M+R:N+L
119,20,5,J+P:I+E
120,20,6,X+A:F+Q
121,21,1,R+N:J+A
122,21,2,Q+S:C+P
123,21,3,M+E:D+X
124,21,4,K+G:V+I
125,21,5,O+B:W+F
126,21,6,T+U:L+H
127,22,1,P+F:I+U
128,22,2,V+B:X+N
129,22,3,R+W:G+L
130,22,4,E+D:T+S
131,22,5,M+H:A+Q
132,22,6,J+O:K+C
133,23,1,G+O:Q+D
134,23,2,T+J:R+I
135,23,3,H+A:V+F
136,23,4,U+C:L+B
137,23,5,E+K:W+X
138,23,6,M+N:S+P
