GAME,ROUND,COURT,TEAMS
1,1,1,N:A
2,1,2,O:C
3,1,3,F:I
4,1,4,G:J
5,1,5,K:H
6,1,6,L:D
7,1,7,M:E
8,1,8,B:Q
9,2,1,H:I
10,2,2,N:G
11,2,3,J:E
12,2,4,A:M
13,2,5,F:Q
14,2,6,B:K
15,2,7,P:D
16,2,8,L:C
17,3,1,G:O
18,3,2,K:D
19,3,3,N:H
20,3,4,C:Q
21,3,5,L:A
22,3,6,P:E
23,3,7,J:B
24,3,8,F:M
25,4,1,B:P
26,4,2,H:O
27,4,3,I:G
28,4,4,F:L
29,4,5,M:C
30,4,6,D:J
31,4,7,E:K
32,4,8,Q:A
33,5,1,I:C
34,5,2,F:N
35,5,3,A:O
36,5,4,M:D
37,5,5,G:P
38,5,6,E:Q
39,5,7,B:L
40,5,8,J:H
41,6,1,O:F
42,6,2,A:I
43,6,3,C:N
44,6,4,H:P
45,6,5,E:L
46,6,6,M:B
47,6,7,D:Q
48,6,8,G:K
49,7,1,J:M
50,7,2,Q:L
51,7,3,P:K
52,7,4,E:N
53,7,5,B:I
54,7,6,G:F
55,7,7,H:C
56,7,8,D:O
57,8,1,Q:N
58,8,2,E:H
59,8,3,G:D
60,8,4,J:F
61,8,5,C:K
62,8,6,I:L
63,8,7,O:M
64,8,8,A:P
65,9,1,L:K
66,9,2,J:Q
67,9,3,M:P
68,9,4,D:I
69,9,5,O:E
70,9,6,A:H
71,9,7,C:G
72,9,8,N:B
73,10,1,E:G
74,10,2,I:M
75,10,3,H:B
76,10,4,P:C
77,10,5,A:J
78,10,6,Q:O
79,10,7,L:N
80,10,8,K:F
81,11,1,M:L
82,11,2,P:J
83,11,3,K:Q
84,11,4,O:B
85,11,5,I:N
86,11,6,H:G
87,11,7,A:F
88,11,8,E:D
89,12,1,D:H
90,12,2,G:B
91,12,3,O:L
92,12,4,K:A
93,12,5,P:F
94,12,6,N:M
95,12,7,Q:I
96,12,8,C:J
97,13,1,K:J
98,13,2,L:P
99,13,3,Q:M
100,13,4,B:E
101,13,5,N:D
102,13,6,F:C
103,13,7,G:A
104,13,8,O:I
105,14,1,C:D
106,14,2,B:F
107,14,3,E:A
108,14,4,I:K
109,14,5,Q:G
110,14,6,O:P
111,14,7,N:J
112,14,8,H:L
113,15,1,F:E
114,15,2,D:A
115,15,3,B:C
116,15,4,Q:H
117,15,5,J:O
118,15,6,K:N
119,15,7,I:P
120,15,8,M:G
121,16,1,P:Q
122,16,2,M:K
123,16,3,L:J
124,16,4,N:O
125,16,5,D:B
126,16,6,C:A
127,16,7,F:H
128,16,8,I:E
129,17,1,A:B
130,17,2,C:E
131,17,3,D:F
132,17,4,L:G
133,17,5,H:M
134,17,6,J:I
135,17,7,K:O
136,17,8,P:N
